City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Thompson,CA,55.7435,-97.8558,66.36,48,75,8.05,broken clouds
130,Bengkulu,ID,-3.8004,102.2655,75.13,92,98,5.53,overcast clouds
131,Korcula,HR,42.9622,17.1369,81.0,62,0,1.97,clear sky
132,Chokurdakh,RU,70.6333,147.9167,51.04,55,92,12.01,overcast clouds
133,Maues,BR,-3.3836,-57.7186,95.77,32,82,3.62,broken clouds
134,Hermanus,ZA,-34.4187,19.2345,52.68,71,36,4.7,scattered clouds
135,Sao Filipe,CV,14.8961,-24.4956,78.01,84,100,5.06,light rain
136,Clyde River,CA,70.4692,-68.5914,57.43,62,0,9.22,clear sky
137,Salinas,US,36.6777,-121.6555,84.99,70,0,14.97,clear sky
138,Carnarvon,AU,-24.8667,113.6333,66.69,54,76,20.02,broken clouds
139,Katobu,ID,-4.9408,122.5276,70.92,86,33,5.3,scattered clouds
140,Fortuna,US,40.5982,-124.1573,66.92,75,33,5.01,scattered clouds
141,Lagoa,PT,39.05,-27.9833,73.45,86,13,10.04,few clouds
142,Japura,ID,-0.3167,102.35,73.69,99,99,0.94,overcast clouds
143,Touros,BR,-5.1989,-35.4608,76.98,82,62,16.42,broken clouds
144,Busselton,AU,-33.65,115.3333,51.3,66,79,14.2,broken clouds
145,Mabaruma,GY,8.2,-59.7833,80.89,77,15,5.53,few clouds
146,Hohhot,CN,40.8106,111.6522,64.69,68,0,4.47,clear sky
147,Yulara,AU,-25.2406,130.9889,56.84,38,0,6.76,clear sky
148,Dalianwan,CN,39.0286,121.695,68.04,94,0,4.47,clear sky
149,Usinsk,RU,65.9939,57.5281,47.91,88,44,12.26,scattered clouds
150,Hofn,IS,64.2539,-15.2082,53.35,81,90,2.71,overcast clouds
151,Vagur,FO,61.4732,-6.8119,50.95,86,100,22.53,overcast clouds
152,Antipino,RU,57.1068,65.7576,55.63,75,98,3.53,overcast clouds
153,Ketchikan,US,55.3422,-131.6461,57.67,82,100,9.22,overcast clouds
154,Taoudenni,ML,22.6783,-3.9836,104.29,7,0,4.38,clear sky
155,Buchanan,LR,5.8808,-10.0467,75.58,79,98,8.66,overcast clouds
156,Monze,ZM,-16.2833,27.4833,58.57,50,0,4.29,clear sky
157,Lopatino,RU,52.6195,45.8118,60.66,88,72,7.02,broken clouds
158,Pacific Grove,US,36.6177,-121.9166,73.54,81,40,11.5,scattered clouds
159,Palana,RU,59.1167,159.9667,49.73,72,54,13.09,broken clouds
160,Sinnar,SD,13.5691,33.5672,78.69,61,100,21.59,overcast clouds
161,Bilibino,RU,68.0546,166.4372,52.9,51,97,1.41,overcast clouds
162,Asau,RO,46.4333,26.4,70.43,58,21,3.58,few clouds
163,Ilulissat,GL,69.2167,-51.1,39.04,99,100,4.32,light rain
164,Xuddur,SO,4.1213,43.8894,72.1,73,75,21.09,broken clouds
165,Guerrero Negro,MX,27.9769,-114.0611,76.12,57,10,15.61,clear sky
166,Severo-Kurilsk,RU,50.6789,156.125,55.36,90,51,2.28,broken clouds
167,Cairns,AU,-16.9167,145.7667,62.55,72,40,6.91,scattered clouds
168,Siavonga,ZM,-16.5382,28.7088,68.95,51,85,3.83,overcast clouds
169,Belmonte,BR,-15.8631,-38.8828,72.09,86,25,9.51,scattered clouds
170,Luderitz,NA,-26.6481,15.1594,59.34,65,0,22.97,clear sky
171,Ulladulla,AU,-35.35,150.4667,49.66,91,31,3.87,scattered clouds
172,Alofi,NU,-19.0595,-169.9187,71.49,88,75,2.3,broken clouds
173,Shebalino,RU,51.2917,85.6772,49.75,96,9,6.15,clear sky
174,Vao,NC,-22.6667,167.4833,73.6,87,90,18.66,overcast clouds
175,Mareeba,AU,-17.0,145.4333,57.92,95,0,2.04,clear sky
176,Palu,ID,-0.8917,119.8707,74.34,94,57,3.15,broken clouds
177,Yerbogachen,RU,61.2767,108.0108,65.46,96,39,5.73,scattered clouds
178,Lakes Entrance,AU,-37.8811,147.981,48.78,78,70,5.59,broken clouds
179,Lumeje,AO,-11.55,20.7833,65.46,35,16,4.65,few clouds
180,Bubaque,GW,11.2833,-15.8333,80.15,80,100,14.36,overcast clouds
181,Chuy,UY,-33.6971,-53.4616,61.59,92,66,7.87,broken clouds
182,Narsaq,GL,60.9167,-46.05,59.22,73,98,6.82,overcast clouds
183,Umea,SE,63.8284,20.2597,56.44,72,97,3.4,overcast clouds
184,Hervey Bay,AU,-25.2986,152.8535,58.17,85,13,13.53,few clouds
185,Shumskiy,RU,54.8318,99.1328,53.19,93,91,3.47,overcast clouds
186,Lompoc,US,34.6391,-120.4579,71.44,51,5,12.21,clear sky
187,Molina,CL,-35.1167,-71.2833,56.93,72,100,3.44,haze
188,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,13.8,light rain
189,Cockburn Town,TC,21.4612,-71.1419,82.17,71,16,18.75,few clouds
190,Komsomolskiy,UZ,40.4272,71.7189,84.92,34,3,9.22,clear sky
191,Grand Gaube,MU,-20.0064,57.6608,70.38,71,37,5.99,scattered clouds
192,Okha,RU,53.5739,142.9478,57.88,83,21,10.47,few clouds
193,San Rafael,AR,-34.6177,-68.3301,70.48,15,49,6.15,scattered clouds
194,Krasnyy Oktyabr,RU,56.1167,38.8833,64.49,74,38,2.13,scattered clouds
195,Axim,GH,4.8699,-2.2405,75.43,79,63,6.98,broken clouds
196,Griffith,US,41.5284,-87.4237,86.9,72,0,13.8,clear sky
197,Yerofey Pavlovich,RU,53.9667,121.9667,60.19,87,0,3.6,clear sky
198,Esperance,AU,-33.8667,121.9,51.64,71,100,23.71,light rain
199,Alice Springs,AU,-23.7,133.8833,44.15,42,0,0.0,clear sky
200,Ixtapa,MX,20.7,-105.2,91.22,62,40,4.61,scattered clouds
201,Broome,US,42.2506,-75.833,95.47,39,20,8.01,few clouds
202,Matadi,CD,-5.8167,13.45,73.85,75,10,5.77,clear sky
203,Pietersburg,ZA,-23.9045,29.4688,56.25,67,28,1.14,scattered clouds
204,Poum,NC,-20.2333,164.0167,75.13,74,74,8.97,broken clouds
205,Ambon,ID,-3.6954,128.1814,77.04,73,98,9.08,overcast clouds
206,Bassar,TG,9.25,0.7833,68.13,99,98,3.2,overcast clouds
207,Luhyny,UA,51.082,28.4006,66.9,53,9,6.2,clear sky
208,Ugoofaaru,MV,5.6667,73.0,81.73,76,95,14.9,overcast clouds
209,Ous,RU,60.9058,61.5186,52.41,93,40,4.97,scattered clouds
210,Mbuji-Mayi,CD,-6.15,23.6,83.17,29,82,2.77,broken clouds
211,Butembo,CD,0.15,29.2833,57.49,90,20,2.08,few clouds
212,Ahipara,NZ,-35.1667,173.1667,55.56,89,100,16.44,light rain
213,Colac,AU,-38.3333,143.5833,46.09,98,49,3.13,scattered clouds
214,Kuna,US,43.4918,-116.4201,93.67,17,0,12.66,clear sky
215,Rio Gallegos,AR,-51.6226,-69.2181,33.85,80,0,12.66,clear sky
216,Cumana,VE,10.4635,-64.1775,81.54,73,20,12.33,few clouds
217,Rassvet,RU,46.8333,40.75,62.83,92,75,6.71,light rain
218,Santiago Del Estero,AR,-27.7951,-64.2615,80.87,40,100,5.73,overcast clouds
219,Srandakan,ID,-7.9386,110.2506,74.26,89,90,7.18,overcast clouds
220,Victoria,HK,22.2855,114.1577,87.19,83,70,10.0,broken clouds
221,Khor,RU,47.8861,134.9464,61.75,95,54,4.12,broken clouds
