City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Pirineos
373,Naifaru,MV,81.75,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
377,Lorengau,PG,81.3,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
379,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
383,Bandarbeyla,SO,76.26,scattered clouds,9.4942,50.8122,JABIR HOTEL
386,Tucurui,BR,82.11,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
390,Kavaratti,IN,81.05,broken clouds,10.5669,72.642,Green leaf
395,Halifax,CA,85.89,scattered clouds,44.6453,-63.5724,Hotel Halifax
400,Belle Fourche,US,87.35,overcast clouds,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
402,Bataipora,BR,79.75,broken clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
406,Carutapera,BR,79.25,overcast clouds,-1.195,-46.02,Lidera
407,Pula,HR,78.57,clear sky,44.8683,13.8481,Park Plaza Histria Pula
408,Matay,EG,85.39,clear sky,28.419,30.7792,Nag Aespen
413,Nouadhibou,MR,75.18,few clouds,20.931,-17.0347,El Medina
416,Fereydun Kenar,IR,77.22,broken clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
417,Kutum,SD,84.25,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
418,Nago,JP,84.63,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
419,Novoselytsya,UA,77.18,few clouds,48.2193,26.2653,Pryvatna Sadyba
421,Yarmouth,US,84.6,scattered clouds,41.7057,-70.2286,Blue Rock Resort
423,Nizwa,OM,87.87,few clouds,22.9333,57.5333,Orient Apartments
427,Padang,ID,77.13,overcast clouds,-0.9492,100.3543,Mercure Padang
436,Satipo,PE,88.39,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
440,Hobyo,SO,76.12,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
443,Namatanai,PG,79.45,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
445,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
446,Zhuhai,CN,87.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
451,Cabo Rojo,PR,88.05,broken clouds,18.0866,-67.1457,Hotel Perichi's
452,Hirado,JP,77.13,overcast clouds,33.3597,129.5531,Samson Hotel
458,Djibo,BF,89.83,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
459,Majene,ID,76.5,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
471,Hazorasp,UZ,85.84,clear sky,41.3194,61.0742,Kemping wifi hotel
472,Cardston,CA,78.89,few clouds,49.2,-113.3019,Flamingo Motel
475,Sao Desiderio,BR,79.09,scattered clouds,-12.3633,-44.9733,Pousada do Luizão
476,Jalu,LY,82.58,clear sky,29.0331,21.5482,صاحبة الفخامة
477,Villa Carlos Paz,AR,75.88,clear sky,-31.4241,-64.4978,Monte Carlo vcp
480,Misratah,LY,81.66,clear sky,32.3754,15.0925,Almasa Hotel
486,Tomatlan,MX,88.93,overcast clouds,19.9333,-105.25,El Salvial
488,San Pedro,PH,81.63,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
492,Abu Kamal,SY,90.0,clear sky,34.4506,40.9171,البوكمال
493,Riviere-Au-Renard,CA,86.29,broken clouds,48.9957,-64.3971,Auberge Le Caribou
498,Aksu,CN,84.13,clear sky,41.1231,80.2644,Pudong Holiday Hotel
509,Isangel,VU,77.94,clear sky,-19.55,169.2667,Tanna Lodge
516,Nishihara,JP,83.86,scattered clouds,26.1842,127.7558,Minshuku Agaihama
517,Grand-Lahou,CI,75.94,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
518,Vanimo,PG,76.77,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
522,Karpathos,GR,75.09,clear sky,35.507,27.2132,Alex
524,General Cepeda,MX,85.06,broken clouds,25.3833,-101.45,Hacienda Los Jose
526,Gizo,SB,82.08,clear sky,-8.103,156.8419,Imagination Island
530,Akyab,MM,79.3,overcast clouds,20.15,92.9,Hotel Memory
538,Tabou,CI,75.02,broken clouds,4.423,-7.3528,hotêl doufoulougou
542,Bontang,ID,76.08,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
545,Basco,PH,84.27,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
546,Benjamin Aceval,PY,89.74,broken clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
549,Saint-Michel-Des-Saints,CA,81.93,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
552,Puerto Narino,CO,80.71,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
554,Maturin,VE,85.35,scattered clouds,9.75,-63.1767,Hotel Residencial La Pichincha
557,Shenjiamen,CN,76.59,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
558,Caceres,ES,84.07,clear sky,39.522,-6.3748,Ahc Hoteles
